,,5,6,7,8
,,input2,input2,input2,input2
date,time,cat3,cat4,num3,num4
2001/3/31,00:00:00,A,A-1,11,10.1
2001/9/30,00:00:00,A,A-1,31,30.1
2002/3/31,00:00:00,A,A-1,11,10.1
2002/9/30,00:00:00,A,A-1,31,30.1
2003/3/31,00:00:00,A,A-1,11,10.1
2003/9/30,00:00:00,A,A-1,31,30.1
2004/3/31,00:00:00,A,A-1,11,10.1
2004/9/30,00:00:00,A,A-1,31,30.1
2005/3/31,00:00:00,A,A-1,11,10.1
2005/9/30,00:00:00,A,A-1,31,30.1
2006/3/31,00:00:00,A,A-1,11,10.1
2006/9/30,00:00:00,A,A-1,31,30.1
2007/3/31,00:00:00,A,A-1,11,10.1
2007/9/30,00:00:00,A,A-1,31,30.1
2008/3/31,00:00:00,A,A-1,11,10.1
2008/9/30,00:00:00,A,A-1,31,30.1
2009/3/31,00:00:00,A,A-1,11,10.1
2009/9/30,00:00:00,A,A-1,31,30.1
